dataset,n,m,lg_nodes,lg_edges,repeat,cpu_ms,gpu_ms,speedup
grid_100x100,10000,39600,39600,157208,5,0.2983,0.0485376,6.14575
grid_150x150,22500,89400,89400,355808,5,0.63009,0.136806,4.60571
grid_200x200,40000,159200,159200,634408,5,1.0448,0.124736,8.3761
grid_250x250,62500,249000,249000,993008,5,1.82278,0.141926,12.8431
grid_300x300,90000,358800,358800,1431608,5,2.85345,0.14889,19.1649
