dataset,eh,repeat,cpu_ms,gpu_naive_ms,gpu_simt_ms,speedup
grid_100x100,157208,5,1.68237,0.0090112,0.0090048,186.83
grid_200x200,634408,5,4.35954,0.0190464,0.0178176,244.676
grid_300x300,1431608,5,9.71384,0.0339968,0.0323584,300.195
grid_400x400,2548808,5,18.5688,0.0561152,0.0526336,352.794
grid_560x560,5001928,5,32.4908,0.10281,0.09504,341.865
grid_80x80,100168,5,0.696821,0.00656,0.0063488,109.756
