dataset,grid_n,V,EH,delta,turn_penalty,cpu_ms,gpu_ms,speedup
grid_100x100,100,39600,157208,35,10,6.96633,5.11295,1.36249
grid_150x150,150,89400,355808,35,10,14.971,7.56236,1.97967
grid_200x200,200,159200,634408,35,10,29.7147,9.0268,3.29183
grid_250x250,250,249000,993008,35,10,48.1533,13.0611,3.68677
grid_300x300,300,358800,1431608,35,10,66.904,14.0054,4.77703
